"LAYER","NAME","LAT","LON"
"Brown Noddy (B)","B39",-16.60674529,145.973333
"Brown Noddy (B)","B40",-16.60673451,145.9733377
"Brown Noddy (B)","B41",-16.6067204,145.9733439
"Brown Noddy (B)","B42",-16.6067204,145.9733475
"Brown Noddy (B)","B43",-16.60672607,145.9733459
"Brown Noddy (B)","B44",-16.60672435,145.973338
"Brown Noddy (B)","B45",-16.60674328,145.9733515
"Brown Noddy (B)","B46",-16.60658225,145.9736695
"Brown Noddy (B)","B47",-16.60657973,145.9736741
"Brown Noddy (B)","B48",-16.60658242,145.973674
"Brown Noddy (B)","B49",-16.60658239,145.9736758
"Brown Noddy (B)","B50",-16.60658328,145.9736787
"Brown Noddy (B)","B51",-16.60657956,145.9736785
"Brown Noddy (B)","B52",-16.60658083,145.9736799
"Brown Noddy (B)","B53",-16.60657859,145.9736806
"Brown Noddy (B)","B54",-16.60658163,145.9736832
"Brown Noddy (B)","B55",-16.60657755,145.9736834
"Brown Noddy (B)","B56",-16.60657824,145.9736849
"Brown Noddy (B)","B57",-16.60657793,145.9736869
"Brown Noddy (B)","B58",-16.60657303,145.9736869
"Brown Noddy (B)","B59",-16.60657227,145.9736826
"Brown Noddy (B)","B60",-16.60657072,145.9736757
"Brown Noddy (B)","B61",-16.60657334,145.9736914
"Brown Noddy (B)","B62",-16.60656799,145.9736668
"Brown Noddy (B)","B63",-16.60656395,145.973671
"Brown Noddy (B)","B64",-16.60656309,145.9736822
"Brown Noddy (B)","B65",-16.60656177,145.9736835
"Brown Noddy (B)","B66",-16.60656416,145.9736878
"Brown Noddy (B)","B67",-16.60655784,145.9736846
"Brown Noddy (B)","B68",-16.60655497,145.9736871
"Brown Noddy (B)","B69",-16.6065568,145.9736885
"Brown Noddy (B)","B70",-16.60654613,145.9736706
"Brown Noddy (B)","B71",-16.60654303,145.973676
"Brown Noddy (B)","B72",-16.60654931,145.9736738
"Brown Noddy (B)","B73",-16.60654893,145.9736785
"Brown Noddy (B)","B74",-16.60654765,145.9736852
"Brown Noddy (B)","B75",-16.60654855,145.9736961
"Brown Noddy (B)","B76",-16.60656671,145.973698
"Brown Noddy (B)","B77",-16.60657085,145.9736965
"Brown Noddy (B)","B78",-16.60658241,145.9737124
"Brown Noddy (B)","B79",-16.60676201,145.9737157
"Brown Noddy (B)","B80",-16.60676814,145.973717
"Brown Noddy (B)","B81",-16.60677543,145.9737195
"Brown Noddy (B)","B82",-16.6067748,145.9737256
"Brown Noddy (B)","B83",-16.60678462,145.9737173
"Brown Noddy (B)","B84",-16.60678959,145.9737209
"Brown Noddy (B)","B85",-16.60678709,145.9737252
"Brown Noddy (B)","B86",-16.60678271,145.973725
"Brown Noddy (B)","B87",-16.60678233,145.973729
"Brown Noddy (B)","B88",-16.60678581,145.973733
"Brown Noddy (B)","B89",-16.60679008,145.9737318
"Brown Noddy (B)","B90",-16.60678925,145.9737285
"Brown Noddy (B)","B91",-16.60679641,145.9737227
"Brown Noddy (B)","B92",-16.60679194,145.9737257
"Brown Noddy (B)","B93",-16.60679115,145.9737265
"Brown Noddy (B)","B94",-16.60679254,145.9737308
"Brown Noddy (B)","B95",-16.60679778,145.9737294
"Brown Noddy (B)","B96",-16.60679643,145.9737332
"Brown Noddy (B)","B97",-16.60679169,145.9737356
"Brown Noddy (B)","B98",-16.60679573,145.9737399
"Brown Noddy (B)","B99",-16.6067946,145.9737407
"Brown Noddy (B)","B100",-16.60679504,145.9737446
"Brown Noddy (B)","B101",-16.60679173,145.9737434
"Brown Noddy (B)","B102",-16.60679062,145.9737407
"Brown Noddy (B)","B103",-16.60679812,145.9737462
"Brown Noddy (B)","B104",-16.60679707,145.9737488
"Brown Noddy (B)","B105",-16.60679504,145.9737487
"Brown Noddy (B)","B106",-16.60679343,145.9737537
"Brown Noddy (B)","B107",-16.60679568,145.9737517
"Brown Noddy (B)","B108",-16.60679796,145.9737555
"Brown Noddy (B)","B109",-16.60678712,145.9737391
"Brown Noddy (B)","B110",-16.60677798,145.9737405
"Brown Noddy (B)","B111",-16.6067826,145.9737469
"Brown Noddy (B)","B112",-16.60678219,145.9737452
"Brown Noddy (B)","B113",-16.60678004,145.9737327
"Brown Noddy (B)","B114",-16.60646588,145.9739447
"Brown Noddy (B)","B115",-16.60646649,145.9739592
"Brown Noddy (B)","B116",-16.60647071,145.9739643
"Brown Noddy (B)","B117",-16.60647022,145.973969
"Brown Noddy (B)","B118",-16.60647259,145.9739665
"Brown Noddy (B)","B119",-16.60646974,145.9739435
