OID_,LAYER,NAME,LAT,LONG
254,Noddy Sp. (B),B215,-16.606058671400000,145.974807297000012
255,Noddy Sp. (B),B216,-16.606055736399998,145.974808515000007
256,Noddy Sp. (B),B217,-16.606055253000001,145.974811415999994
257,Noddy Sp. (B),B218,-16.606057739099999,145.974810018999989
258,Noddy Sp. (B),B219,-16.606058982200000,145.974810448999989
259,Noddy Sp. (B),B220,-16.606057255700001,145.974812668999988
260,Noddy Sp. (B),B221,-16.606056530600000,145.974815140000004
261,Noddy Sp. (B),B222,-16.606058567800002,145.974812490000005
262,Noddy Sp. (B),B223,-16.606058395200002,145.974814638999987
263,Noddy Sp. (B),B224,-16.606058636899999,145.974817325000004
264,Noddy Sp. (B),B225,-16.606056841299999,145.974818435000003
265,Noddy Sp. (B),B226,-16.606055563700000,145.974819795999991
266,Noddy Sp. (B),B227,-16.606060363400001,145.974816607999998
267,Noddy Sp. (B),B228,-16.606059914500001,145.974819402000008
268,Noddy Sp. (B),B229,-16.606061986299999,145.974822087000007
269,Noddy Sp. (B),B230,-16.606054665900000,145.974823592000007
270,Noddy Sp. (B),B231,-16.606054424200000,145.974825919000011
271,Noddy Sp. (B),B232,-16.606053975300000,145.974828855999988
272,Noddy Sp. (B),B233,-16.606051627300001,145.974831970999986
273,Noddy Sp. (B),B234,-16.606053802700000,145.974833045999986
274,Noddy Sp. (B),B235,-16.606052801299999,145.974835587999991
275,Noddy Sp. (B),B236,-16.606055391100000,145.974829499999998
276,Noddy Sp. (B),B237,-16.606057255700001,145.974832722999992
277,Noddy Sp. (B),B238,-16.606058611300000,145.974831090000009
278,Noddy Sp. (B),B239,-16.606058577700001,145.974827844999993
279,Noddy Sp. (B),B240,-16.606060814700001,145.974831090000009
280,Noddy Sp. (B),B241,-16.606061672500001,145.974833340000004
281,Noddy Sp. (B),B242,-16.606060007400000,145.974834055000002
282,Noddy Sp. (B),B243,-16.606058577700001,145.974835415999991
283,Noddy Sp. (B),B244,-16.606058914100000,145.974838398999992
284,Noddy Sp. (B),B245,-16.606053464500000,145.974843055999997
285,Noddy Sp. (B),B246,-16.606051835999999,145.974848275999989
286,Noddy Sp. (B),B247,-16.606053384599999,145.974848530000003
287,Noddy Sp. (B),B248,-16.606055367900002,145.974846754999987
288,Noddy Sp. (B),B249,-16.606059932299999,145.974842950999999
289,Noddy Sp. (B),B250,-16.606052949100000,145.974838935999998
290,Noddy Sp. (B),B251,-16.606056046399999,145.974839443000008
291,Noddy Sp. (B),B252,-16.606055095500000,145.974841190000006
292,Noddy Sp. (B),B253,-16.606057486299999,145.974840597999986
293,UNKNOWN (U),U1,-16.606061489300000,145.974837400000013
294,UNKNOWN (U),U2,-16.606047895400000,145.974861623999999
295,UNKNOWN (U),U3,-16.606048516900000,145.974841856000012
296,UNKNOWN (U),U4,-16.606045927200000,145.974864953999997
297,UNKNOWN (U),U5,-16.606044718600000,145.974866888000008
298,UNKNOWN (U),U6,-16.606055750100001,145.974849709000011
299,Noddy Sp. (B),B254,-16.606052864199999,145.974849997999996
300,Noddy Sp. (B),B255,-16.606053206199999,145.974852924000004
301,Noddy Sp. (B),B256,-16.606053868899998,145.974854432000001
302,Noddy Sp. (B),B257,-16.606055899699999,145.974853079000013
303,Noddy Sp. (B),B258,-16.606056562399999,145.974855805999994
304,Noddy Sp. (B),B259,-16.606057438800001,145.974857181000004
305,Noddy Sp. (B),B260,-16.606054916400002,145.974857025000006
306,Noddy Sp. (B),B261,-16.606053419999999,145.974858643999994
307,Noddy Sp. (B),B262,-16.606051709799999,145.974858444000006
